west europe:
nuuk greenland greenlandic
stockholm sweden swedish
oslo norway norwegian
helsinki finland finnish
copenhagen denmark danish
dublin ireland irish
london england english
vienna austria austrian
vaduz liechtenstein liechtensteiner
brussels belgium belgian
berlin germany german
bern switzerland swiss
paris france french
rome italy italian
valletta malta maltese
madrid spain spanish
lisbon portugal portuguese
athens greece greek
nicosia cyprus cypriot
east europe:
minsk belarus belarusian
belgrade serbia serbian
bratislava slovakia slovakian
bucharest romania romanian
budapest hungary hungarian
chisinau moldova moldovian
kiev ukraine ukrainian
ljubljana slovenia slovenian
moscow russia russian
tirana albania albanian
tbilisi georgia georgian
tallinn estonia estonian
warsaw poland polish
podgorica montenegro montenegrin
riga latvia latvian
sofia bulgaria bulgaria
skopje macedonia macedonian
yerevan armenia armenian
zagreb croatia croatian
vilnius lithuania lithuanian
africa:
abuja nigeria nigerian
accra ghana ghanaian
algiers algeria algerian
antananarivo madagascar malagasy
gaborone botswana botswana
banjul gambia gambian
harare zimbabwe zimbabwean
kampala uganda ugandan
khartoum sudan sudanese
kigali rwanda rwandan
luanda angola angolan
lusaka zambia zambian
asmara eritrea eritrean
mogadishu somalia somalian
monrovia liberia liberian
nairobi kenya kenyan
bamako mali malian
maputo mozambique mozambican
muscat oman omani
niamey niger nigerien
windhoek namibia namibian
conakry guinea guinean
lilongwe malawi malawian
bujumbura burundi burundian
nouakchott mauritania mauritanian
libreville gabon gabonese
maseru lesotho basotho
yaoundé cameroon cameroonian
dodoma tanzania tanzanian
kinshasa congo congolese
mbabane swaziland swazi
dakar senegal senegalese
n'djamena chad chadian
middle east:
ankara turkey turkish
cairo egypt egyptian
amman jordan jordanian
baghdad iraq iraqi
beirut lebanon lebanese
kabul afghanistan afghani
damascus syria syrian
doha qatar qatari
islamabad pakistan pakistani
rabat morocco moroccan
tripoli libya libyan
tunis tunisia tunisian
tehran iran iranian
manama bahrain bahraini
sana yemen yemeni
asia:
thimphu bhutan bhutanese
kathmandu nepal nepalese
dhaka bangladesh bangladeshi
tokyo japan japanese
taipei taiwan taiwanese
beijing china chinese
soul korea korean
vientiane laos laotian
bangkok thailand thai
hanoi vietnam vietnamese
jakarta indonesia indonesian
manila philippines philippine
delhi india indian
phnom cambodia cambodian
central south america:
nassau bahamas bahamian
roseau dominica dominican
kingston jamaica jamaican
havana cuba cuban
tegucigalpa honduras honduran
managua nicaragua nicaraguan
belmopan belize belizean
paramaribo suriname suriname
quito ecuador ecuadorian
caracas venezuela venezuelan
lima peru peruvian
santiago chile chilean
montevideo uruguay uruguayan
georgetown guyana guyanan
